MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NQ,DHFL,SEC RED NCD 8.90% SR. I,       921.05,       925.00,       925.00,       920.00,       920.00,                   649700.75,705,N, ,25,      1019.00,       900.00
N,NS,DHFL,SEC RED NCD 9.00% SR. II,       915.00,       910.00,       910.00,       881.00,       888.00,                  1158530.60,1282,N, ,25,      1002.00,       800.00
N,NT,SREINFRA,12% PA SN SV C-III,      1050.00,       903.00,       980.00,       903.00,       980.00,                    37660.00,40,N, ,2,      1150.00,       903.00
N,NU,DHFL,SEC RED NCD 9.00% SR. III,       945.05,       935.00,       935.00,       935.00,       935.00,                     4675.00,5,N, ,1,      1010.00,       935.00
N,NU,SREIBNPNCD,UNS RED NCD 9.50% SR. VII,       920.71,       907.02,       910.01,       897.00,       900.00,                   464237.00,515,N, ,19,      1026.00,       897.00
N,NU,SREINFRA,0% PA SN SVI C-III,      1605.00,      1600.00,      1600.00,      1598.00,      1598.00,                   326012.00,204,N, ,10,      1605.00,      1202.00
N,NV,SREIBNPNCD,UNS RED NCD 9.55% SR.VIII,       897.80,       900.00,       949.99,       900.00,       949.99,                    38299.98,42,N, ,6,      1045.50,       891.00
N,NX,DHFL,SEC RED NCD 9.10% SR. IV,       907.00,       902.00,       902.00,       815.10,       838.15,                  8700945.25,10195,N, ,104,      1001.45,       812.50
N,NY,DHFL,SEC RED NCD 8.56% SR. V,       939.00,       900.00,       930.00,       900.00,       921.66,                   373320.00,410,N, ,18,      1015.00,       851.00
N,NZ,SREINFRA,SEC RED NCD 9.60% SR. V,       972.00,       970.00,       970.00,       965.00,       970.00,                   615748.00,635,N, ,18,      1090.00,       852.00
N,P1,MUKANDLTD,0.01% CUM. RED. PREF,         7.50,         7.00,         7.00,         7.00,         7.00,                      700.00,100,N, ,1,        10.70,         5.05
N,P1,VEDL,VEDANTA LIMITED,        10.35,        10.30,        10.40,        10.30,        10.35,                   305632.00,29530,N, ,39,        11.00,         9.90
N,P2,JSWSTEEL,0.01% CUM RED PREF SHARES,         6.85,         6.85,         6.90,         6.80,         6.85,                 17407584.70,2534455,N, ,90,         9.20,         6.80
N,P2,ZEEL,ZEE ENTERTAINMENT ENT LTD,         7.85,         7.80,         7.95,         7.80,         7.95,                 38014184.05,4801314,N, ,21,        10.95,         7.45
N,Y1,DHFL,SEC RED NCD 8.65% SR. VI,       893.43,       900.00,       900.00,       900.00,       900.00,                    21600.00,24,N, ,1,      1020.00,       890.00
N,Y1,SREINFRA,SEC RED NCD 10.00% SR. VI,       971.35,       975.00,       979.00,       900.01,       967.90,                   187223.54,196,N, ,14,      1098.00,       900.01
N,Y2,SRTRANSFIN,10.75% SEC RED NCD SII,      1054.00,      1026.16,      1026.16,      1026.16,      1026.16,                    51308.00,50,N, ,3,      1231.00,       987.01
N,Y6,SREINFRA,SEC RED NCD 9.25% SR. IV,       985.00,       960.00,       960.00,       949.85,       950.00,                   148385.00,156,N, ,7,      1121.04,       949.85
N,Y8,SREINFRA,SEC RED NCD 9.12% SR. VI,       968.00,       950.00,       950.00,       905.10,       909.18,                    10001.00,11,N, ,2,      1040.00,       881.00
N,Y8,SRTRANSFIN,BOND 10% PA SRN S-II,      1020.00,      1022.00,      1022.00,      1022.00,      1022.00,                   102200.00,100,N, ,1,      1128.00,       986.00
N,Y9,SREINFRA,SEC RED NCD 9.50% SR. VII,       971.00,       965.00,       973.00,       777.00,       925.05,                   407465.75,447,N, ,20,      1129.00,       777.00
N,Y9,SRTRANSFIN,BOND 10.15% PA SRN S-III,      1070.00,      1063.00,      1063.00,      1063.00,      1063.00,                    21260.00,20,N, ,1,      1200.00,      1024.05
N,YA,SRTRANSFIN,BOND 9.57% PA SRN S-IV,      1010.00,      1012.00,      1012.00,      1012.00,      1012.00,                    20240.00,20,N, ,1,      1099.99,       850.00
N,YD,SRTRANSFIN,BOND PA SRN S-VII,      1550.00,      1568.00,      1568.00,      1566.00,      1566.00,                    62644.00,40,N, ,2,      1580.00,      1415.44
N,YG,SREINFRA,SEC RED NCD 8.43% SR. III,       912.00,       934.00,       934.00,       934.00,       934.00,                    46700.00,50,N, ,1,       985.00,       912.00
N,YH,SRTRANSFIN,SEC RED NCD 8.93% SR. I,       988.00,       985.00,       985.00,       985.00,       985.00,                    49250.00,50,N, ,1,      1210.00,       960.60
N,YI,SRTRANSFIN,SEC RED NCD 9.03% SR. II,       985.00,       988.00,       988.00,       976.30,       976.39,                  1100095.30,1120,N, ,33,      1050.00,       976.30
N,YJ,SRTRANSFIN,SEC RED NCD 9.10% SR. III,       961.95,       980.00,       980.00,       965.77,       972.00,                   107133.10,110,N, ,3,      1016.00,       920.05
N,YK,SREINFRA,SEC RED NCD 9.00% SR. VII,       960.00,       921.00,       921.00,       920.00,       920.00,                    87415.00,95,N, ,6,      1000.00,       920.00
N,YK,SRTRANSFIN,SEC RED NCD 9.30% SR. IV,       994.58,      1009.90,      1009.90,      1009.90,      1009.90,                   121188.00,120,N, ,2,      1012.00,       986.00
N,YL,SRTRANSFIN,SEC RED NCD 9.40% SR. V,       992.00,      1000.00,      1000.00,      1000.00,      1000.00,                   749000.00,749,N, ,56,      1034.95,       984.00
N,YM,SRTRANSFIN,SEC RED NCD SR. VI,       990.00,       989.00,       989.00,       985.00,       985.00,                   266430.00,270,N, ,4,      1069.00,       966.40
 ,BT, , , , , , , , , , , , , , 
 ,BT, ,LIMITED PHYSICAL MARKET, , , , , , , , , , , , 
O,BL,ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,      1307.80,       115.10,       115.10,       115.10,       115.10,                193133771.50,1677965,N, ,1,       115.10,       115.10
O,BL,ABFRL,ADITYA BIRLA FASHION & RT,       150.00,       185.35,       185.35,       185.35,       185.35,                110526058.50,596310,N, ,1,       185.35,       185.35
O,BL,GRASIM,GRASIM INDUSTRIES LTD,      1239.45,      1027.95,      1027.95,      1027.95,      1027.95,               1232046388.65,1198547,N, ,1,      1027.95,      1027.95
O,BL,HINDALCO,HINDALCO INDUSTRIES LTD,       144.00,       233.00,       233.00,       233.00,       233.00,                156709043.00,672571,N, ,1,       233.00,       233.00
O,BL,MOTILALOFS,MOTILAL OSWAL FIN LTD,       825.00,       672.00,       672.00,       672.00,       672.00,                362208000.00,539000,N, ,2,       672.00,       672.00
O,BL,TRIDENT,TRIDENT LIMITED,        65.75,        58.50,        58.50,        58.50,        58.50,                100620000.00,1720000,N, ,1,        65.75,        58.50
O,BL,UFLEX,UFLEX LIMITED,       271.00,       300.00,       300.00,       300.00,       300.00,                147616800.00,492056,N, ,1,       300.00,       300.00
O,BL,ULTRACEMCO,ULTRATECH CEMENT LIMITED,       447.00,      4114.85,      4114.85,      4114.85,      4114.85,                482745972.30,117318,N, ,1,      4114.85,      4114.85
